radius_m,height_q10_m,height_q50_m,height_q90_m
0.0,-1.4231771929474517,-1.1635635466530285,-1.0205575573563113
0.1,-1.4220415212791089,-1.1626752151750073,-1.019790012473823
0.2,-1.4209058496107658,-1.1617867769007038,-1.0190223607950522
0.3,-1.4197700711461405,-1.1608984454226825,-1.0182548159125637
0.4,-1.4186343994777975,-1.1600101139446615,-1.0174872710300755
0.5,-1.4174987278094546,-1.1591216756703577,-1.0167196193513046
0.6,-1.4141024992289606,-1.1564613802727255,-1.0144194410183378
0.7000000000000001,-1.4107062706484663,-1.1538011916713755,-1.0121191558890883
0.8,-1.4073100420679723,-1.1511408962737433,-1.0098189775561213
0.8999999999999999,-1.4039138134874782,-1.1484806008761108,-1.007518692426872
1.0,-1.4005175849069842,-1.1458204122747608,-1.005218514093905
1.1,-1.3948940130582035,-1.1414037452147656,-1.0013942460130612
1.2,-1.3892705480057053,-1.1369870781547702,-0.9975699779322175
1.3,-1.3836469761569246,-1.1325704110947747,-0.9937457098513738
1.4000000000000001,-1.3780235111044263,-1.1281537440347795,-0.98992144177053
1.5,-1.3723999392556456,-1.123737076974784,-0.9860971736896863
1.6,-1.364607228112553,-1.1175930868412718,-0.9807663304512994
1.7000000000000002,-1.3568145169694603,-1.111448989911477,-0.975435594009195
1.7999999999999998,-1.3490218058263674,-1.1053049997779647,-0.9701048575670906
1.9,-1.3412290946832748,-1.09916090284817,-0.9647741211249862
2.0,-1.3334363835401821,-1.0930169127146576,-0.9594433846828818
2.1,-1.323560931295338,-1.0851922694830909,-0.9526369372088833
2.2,-1.313685479050494,-1.077367626251524,-0.9458305965311672
2.3000000000000003,-1.3038100268056498,-1.069542983019957,-0.9390242558534512
2.4,-1.2939345745608057,-1.0617184465846727,-0.9322178083794527
2.5,-1.2840591223159616,-1.0538938033531058,-0.9254114677017365
2.6,-1.2722197932318138,-1.0444583517922539,-0.9171790762634993
2.7,-1.2603804641476657,-1.035022900231402,-0.908946684825262
2.8000000000000003,-1.2485411350635176,-1.02558744867055,-0.9007142933870246
2.9,-1.236701699183087,-1.0161519971096982,-0.892481848550646
3.0,-1.224862370098939,-1.0067165455488463,-0.8842494571124088
3.1,-1.2112142323777095,-0.9957684314423475,-0.8746649713392969
3.2,-1.1975659878601974,-0.9848202105395663,-0.8650804321680438
3.3000000000000003,-1.183917850138968,-0.9738719896367849,-0.8554959463949319
3.4000000000000004,-1.1702696056214559,-0.9629237687340035,-0.8459114072236787
3.5000000000000004,-1.156621361103944,-0.9519755478312222,-0.8363269214505669
3.5999999999999996,-1.1413584635909761,-0.9396454898288839,-0.825493666745921
3.7,-1.1260954592817258,-0.9273154318265455,-0.8146603586431337
3.8,-1.1108324549724753,-0.9149853738242072,-0.8038271039384877
3.9000000000000004,-1.095569450663225,-0.9026554226181513,-0.7929938492338416
4.0,-1.0803064463539747,-0.8903253112176717,-0.7821605945291956
4.1000000000000005,-1.0636626729079925,-0.8767803921035001,-0.7702151633383616
4.2,-1.0470188994620104,-0.8632354195911872,-0.7582697321475276
4.3,-1.0303751260160283,-0.8496904470788743,-0.7463243009566936
4.4,-1.013731352570046,-0.8361454745665614,-0.7343788697658596
4.5,-0.997087579124064,-0.8226005020542485,-0.7224334385750256
4.6000000000000005,-0.9793355806543471,-0.8080444891352963,-0.7095475059221582
4.7,-0.9615835821846302,-0.793488476216344,-0.6966615732692909
4.8,-0.9438315837149134,-0.7789324632973919,-0.6837756406164236
4.9,-0.9260796920414791,-0.7643764503784396,-0.670889654565415
5.0,-0.9083276935717622,-0.7498204374594873,-0.6580037219125477
5.1,-0.8897742957979975,-0.7344923408160396,-0.6443831910303502
5.2,-0.871220951422374,-0.7191642441725918,-0.6307626601481527
5.300000000000001,-0.8526676070467506,-0.7038361475291441,-0.6171421292659552
5.4,-0.8341142626711271,-0.6885080508856964,-0.6035215983837579
5.5,-0.8155609182955036,-0.6731799542422486,-0.5899010675015603
5.6000000000000005,-0.7965400731931384,-0.657349167496968,-0.575782545553961
5.700000000000001,-0.7775192814889145,-0.6415183807516875,-0.5616640236063617
5.8,-0.7584984363865492,-0.6256875406082657,-0.5475455016587624
5.8999999999999995,-0.7394776446823254,-0.6098567538629851,-0.533426979711163
6.0,-0.7204567995799602,-0.5940259671177046,-0.5193084577635637
6.1,-0.7013195465296456,-0.5779845781032898,-0.5049527412724822
6.2,-0.682182293479331,-0.5619432424870164,-0.4905970247814007
6.3,-0.6630450404290165,-0.5459018534726018,-0.47624130829031924
6.4,-0.6439078407768432,-0.5298604644581871,-0.4618855917992377
6.5,-0.6247705877265286,-0.5138190754437724,-0.4475299020072268
6.6000000000000005,-0.6058728787379117,-0.49787172055611867,-0.4332129258676303
6.7,-0.5869751697492948,-0.48192441906660616,-0.4188959497280338
6.800000000000001,-0.5680775141588192,-0.46597706417895246,-0.40457900028750793
6.9,-0.5491798051702023,-0.4500297092912987,-0.3902620241479114
7.000000000000001,-0.5302821495797266,-0.43408238110271563,-0.3759450747073855
7.1,-0.5119713395617115,-0.4185341506219186,-0.36194677867483577
7.199999999999999,-0.4936605829418376,-0.402985893442051,-0.3479485093413566
7.3,-0.4753497729238224,-0.38743766296125404,-0.3339502400078775
7.4,-0.45703901630394855,-0.371889432480457,-0.3199519706743984
7.5,-0.43872820628593334,-0.35634120199966,-0.30595367464184864
7.6,-0.42132895593738795,-0.3414844507491248,-0.2925457751581532
7.7,-0.4039297055888425,-0.32662769949858955,-0.2791378489753871
7.800000000000001,-0.38653045524029706,-0.31177092154898367,-0.2657299227926211
7.9,-0.369131178192681,-0.29691417029844847,-0.25232199660985505
8.0,-0.35173192784413554,-0.2820574190479132,-0.23891407042708898
8.100000000000001,-0.33553264052601156,-0.26815876394695687,-0.2263473251636104
8.200000000000001,-0.3193333532078875,-0.2542601088460005,-0.21378056655059652
8.3,-0.30313403919069287,-0.24036145374504408,-0.20121380793758264
8.4,-0.28693475187256884,-0.22646279864408772,-0.18864706267410408
8.5,-0.27073546455444486,-0.21256415689266667,-0.17608030406109018
8.6,-0.25597659209684137,-0.19985244902519927,-0.16457293787162763
8.7,-0.2412177463383085,-0.18714075450726722,-0.15306557168216509
8.8,-0.22645887388070501,-0.17442904663979986,-0.14155819214316723
8.9,-0.21170000142310155,-0.16171733877233246,-0.13005082595370468
9.0,-0.19694114231503337,-0.1490056442544004,-0.11854345976424215
9.1,-0.1838060005369001,-0.13766205016418592,-0.10827107911110069
9.200000000000001,-0.1706708454092315,-0.12631845607397144,-0.09799870513272689
9.3,-0.15753570363109823,-0.11497486198375696,-0.08772633115435309
9.4,-0.14440056185296493,-0.10363126121877482,-0.0774539571759793
9.5,-0.13126542007483166,-0.09228766712856033,-0.0671815831976055
9.6,-0.11987423489121815,-0.08243858689073164,-0.05826983390717272
9.7,-0.10848305638237228,-0.07258949997813527,-0.04935807794197228
9.8,-0.09709187787352642,-0.06274041974030657,-0.040446325314155665
9.9,-0.08570069268991291,-0.05289133616509404,-0.03153457268633905
10.0,-0.07430951418106704,-0.04304225258988151,-0.02262281838983052
10.1,-0.0647173057017753,-0.034755692074718535,-0.015143112132583672
10.2,-0.05512509722248353,-0.02646912989086365,-0.007663404206644907
10.3,-0.0455328920805756,-0.018182567707008768,-0.00018369701075885624
10.4,-0.03594068360128384,-0.009896006357499843,0.007296009976540706
10.5,-0.026348478459375914,-0.0016094440693517145,0.01477571790247947
10.600000000000001,-0.01854665959581435,0.005105005394901214,0.02080690112519365
10.700000000000001,-0.010744840732252785,0.011819454963447388,0.02683808434790783
10.8,-0.002943022494450689,0.018533904114820584,0.032869265901930095
10.9,0.004858795743351406,0.025248353266193777,0.03890044912464428
11.0,0.012660614189739992,0.03196280241756697,0.044931632347358454
11.100000000000001,0.018739059773546066,0.037150468552313486,0.04955009098317985
11.200000000000001,0.02481750535735214,0.04233813468706,0.05416854961900124
11.3,0.030895950941158216,0.047525800821806505,0.05878700825482264
11.400000000000002,0.03697439819365621,0.05271346695655302,0.06340546689064402
11.500000000000002,0.04305284210877036,0.05790113309129953,0.06802391885169777
11.6,0.047525186743182006,0.06165568322395914,0.0713119894970673
11.7,0.05199753137759364,0.06541022668185109,0.07460006014243682
11.799999999999999,0.05646987601200529,0.0691647768145107,0.07788813078780636
11.899999999999999,0.0609422173090331,0.07291932027240265,0.08117620143317589
12.0,0.06541456528082856,0.07667387040506227,0.08446427207854541
12.1,0.06843792131566341,0.07912828926906212,0.08654264120748104
12.2,0.07146127735049826,0.08158271480782965,0.08862100366164898
12.3,0.07448463338533311,0.08403713367182952,0.09069936611581693
12.4,0.07750798942016797,0.08649155921059705,0.09277773524475254
12.5,0.08053134545500282,0.08894597807459691,0.09485609769892049
12.6,0.08229092100584147,0.09026200196504952,0.09587390631996467
12.7,0.08405048988191248,0.09157802585550212,0.09689171494100886
12.8,0.08581006543275113,0.09289404307118707,0.09790952356205306
12.9,0.08756963430882214,0.09421006696163967,0.0989273388578649
13.0,0.0893292098596608,0.09552609085209228,0.09994514747890908
13.100000000000001,0.09002612902556353,0.0958829039067672,0.10006934488071494
13.200000000000001,0.09072305486623393,0.09623971028667444,0.10019354228252081
13.3,0.09141998070690432,0.0965965166665817,0.10031773300955901
13.4,0.09211689987280705,0.09695332972125661,0.10044193041136489
13.5,0.09281382571347745,0.09731013610116387,0.10056612781317074
13.600000000000001,0.09265347777003775,0.09689328351140841,0.09997081196055274
13.700000000000001,0.09249312982659806,0.09647643092165295,0.09937548943316707
13.8,0.09233278188315838,0.09605957833189749,0.09878017358054905
13.900000000000002,0.09217243393971869,0.09564272574214203,0.09818485772793105
14.000000000000002,0.092012085996279,0.09522587315238656,0.09758953520054538
14.1,0.09119361931133049,0.09421714221535678,0.09644614082602254
14.2,0.09037514595161432,0.09320841795309465,0.09530274645149969
14.299999999999999,0.0895566792666658,0.09219969369083253,0.09415935207697686
14.399999999999999,0.08873820590694963,0.09119096275380274,0.09301595102768635
14.5,0.08791973922200112,0.09018223849154061,0.09187255665316352
14.6,0.08662735735859191,0.08875107485899357,0.09034144504971085
14.7,0.0853349754951827,0.08731991122644654,0.08881034012102584
14.8,0.08404259363177348,0.08588875426866716,0.08727922851757317
14.9,0.08275021844313192,0.08445759063612011,0.0857481169141205
15.0,0.0814578365797227,0.08302642700357307,0.08421701198543549
