diameter,ddr,dp,cr,negative_points
5.0,0.05,0.0,0.0,0.0
5.0,0.060000000000000005,0.0,0.0,0.0
5.0,0.07,0.0,0.0,0.0
5.0,0.08000000000000002,0.0,0.0,0.0
5.0,0.09000000000000001,0.0,0.0,0.0
5.0,0.1,0.0,0.0,0.0
5.0,0.11000000000000001,0.0,0.0,0.0
5.0,0.12000000000000001,0.0,0.0,0.0
5.0,0.13,0.0,0.0,0.0
5.0,0.14,0.0,0.0,0.0
5.0,0.15000000000000002,0.0,0.0,0.0
5.0,0.16000000000000003,0.0,0.0,0.0
5.0,0.17000000000000004,0.0,0.0,0.0
5.0,0.18000000000000005,0.0,0.0,0.0
5.0,0.19,0.0,0.0,0.0
5.0,0.2,0.0,0.0,0.0
5.0,0.21000000000000002,0.0,0.0,0.0
5.0,0.22000000000000003,0.0,0.0,0.0
5.0,0.23000000000000004,0.0,0.0,0.0
5.0,0.24000000000000005,0.0,0.0,0.0
5.0,0.25000000000000006,0.0,0.0,0.0
5.0,0.26000000000000006,0.0,0.0,0.0
5.0,0.27,0.0,0.0,0.0
5.0,0.28,0.0,0.0,0.0
5.0,0.29000000000000004,0.0,0.0,0.0
5.0,0.30000000000000004,0.0,0.0,0.0
5.0,0.31000000000000005,0.0,0.0,0.0
5.0,0.32000000000000006,0.0,0.0,0.0
5.0,0.33,0.0,0.0,0.0
5.0,0.34,0.0,0.0,0.0
5.0,0.35000000000000003,0.0,0.0,0.0
5.0,0.36000000000000004,0.0,0.0,0.0
5.0,0.37000000000000005,0.0,0.0,0.0
5.0,0.38000000000000006,0.0,0.0,0.0
5.0,0.39000000000000007,0.0,0.0,0.0
5.0,0.4000000000000001,0.0,0.0,0.0
5.0,0.4100000000000001,0.0,0.0,0.0
5.0,0.42000000000000004,0.0,0.0,0.0
5.0,0.43000000000000005,0.0,0.0,0.0
5.0,0.44000000000000006,0.0,0.0,0.0
5.0,0.45000000000000007,0.0,0.0,0.0
5.0,0.4600000000000001,0.0,0.0,0.0
5.0,0.4700000000000001,0.0,0.0,0.0
5.0,0.4800000000000001,0.0,0.0,0.0
5.0,0.49000000000000005,0.0,0.0,0.0
5.0,0.5000000000000001,0.0,0.0,0.0
8.0,0.05,1.0,0.20680105766558307,5.1
8.0,0.060000000000000005,1.0,0.3374396304308255,10.1
8.0,0.07,1.0,0.6714765367339736,12.0
8.0,0.08000000000000002,1.0,0.7169753307651736,13.7
8.0,0.09000000000000001,1.0,0.7449486532256823,14.0
8.0,0.1,1.0,0.7123370905518638,14.1
8.0,0.11000000000000001,1.0,0.7613694037452523,15.2
8.0,0.12000000000000001,1.0,0.7636434674847935,16.0
8.0,0.13,1.0,0.767546401593116,16.0
8.0,0.14,1.0,0.7463121271600652,16.0
8.0,0.15000000000000002,1.0,0.7526456707359482,16.0
8.0,0.16000000000000003,1.0,0.7353802912493599,16.0
8.0,0.17000000000000004,1.0,0.7156101324631974,16.0
8.0,0.18000000000000005,1.0,0.7655148850954878,16.0
8.0,0.19,1.0,0.608475097484837,16.2
8.0,0.2,1.0,0.5342560457031627,16.6
8.0,0.21000000000000002,1.0,0.5885715879922698,17.3
8.0,0.22000000000000003,1.0,0.5729856585802299,17.8
8.0,0.23000000000000004,1.0,0.5122222357758051,17.6
8.0,0.24000000000000005,1.0,0.5828187335928303,18.0
8.0,0.25000000000000006,1.0,0.6148636175594526,18.0
8.0,0.26000000000000006,1.0,0.6320556058038678,18.0
8.0,0.27,1.0,0.640205253412438,18.0
8.0,0.28,1.0,0.6536576443388572,18.0
8.0,0.29000000000000004,1.0,0.6663553570065481,18.0
8.0,0.30000000000000004,1.0,0.7048011924187609,18.0
8.0,0.31000000000000005,1.0,0.7070318552203104,18.0
8.0,0.32000000000000006,1.0,0.716566857997921,18.0
8.0,0.33,1.0,0.7307607620724402,18.0
8.0,0.34,1.0,0.7467045867495823,18.0
8.0,0.35000000000000003,1.0,0.7540653755035576,18.0
8.0,0.36000000000000004,1.0,0.7777866145198367,18.0
8.0,0.37000000000000005,1.0,0.7706792356051251,18.0
8.0,0.38000000000000006,1.0,0.774802346606289,18.0
8.0,0.39000000000000007,1.0,0.7812350320596415,18.0
8.0,0.4000000000000001,1.0,0.7842469425391806,18.0
8.0,0.4100000000000001,1.0,0.7879708099714572,18.0
8.0,0.42000000000000004,1.0,0.7882012902333512,18.0
8.0,0.43000000000000005,1.0,0.8069580486243897,18.0
8.0,0.44000000000000006,1.0,0.820854773753099,18.0
8.0,0.45000000000000007,1.0,0.8042772054191951,18.0
8.0,0.4600000000000001,1.0,0.8007972759562769,18.0
8.0,0.4700000000000001,1.0,0.8291487768827921,18.0
8.0,0.4800000000000001,1.0,0.8026457752530523,18.0
8.0,0.49000000000000005,1.0,0.8005915496971756,18.0
8.0,0.5000000000000001,1.0,0.8394176241592091,18.0
10.0,0.05,1.0,0.31158743558359275,26.0
10.0,0.060000000000000005,1.0,0.36380823717726174,28.0
10.0,0.07,1.0,0.40835657659462743,28.6
10.0,0.08000000000000002,1.0,0.4443468303059916,30.0
10.0,0.09000000000000001,1.0,0.25432637267379404,30.0
10.0,0.1,1.0,0.2703236962792685,30.0
10.0,0.11000000000000001,1.0,0.2797924480456938,30.9
10.0,0.12000000000000001,1.0,0.2774416775155082,31.9
10.0,0.13,1.0,0.2989881975747924,32.0
10.0,0.14,1.0,0.3102193520750235,32.0
10.0,0.15000000000000002,1.0,0.32179499846299076,32.0
10.0,0.16000000000000003,1.0,0.336294925890641,32.0
10.0,0.17000000000000004,1.0,0.3973288880219302,32.0
10.0,0.18000000000000005,1.0,0.4101326230386125,32.0
10.0,0.19,1.0,0.4439883514307742,32.0
10.0,0.2,1.0,0.43762259700967565,32.0
10.0,0.21000000000000002,1.0,0.46827100680576333,32.0
10.0,0.22000000000000003,1.0,0.5151671693939293,32.0
10.0,0.23000000000000004,1.0,0.5121632431071377,32.0
10.0,0.24000000000000005,1.0,0.5401909048747672,32.0
10.0,0.25000000000000006,1.0,0.5457105106201938,32.0
10.0,0.26000000000000006,1.0,0.5621319952653604,32.0
10.0,0.27,1.0,0.5800060276871382,32.0
10.0,0.28,1.0,0.587648551251395,32.0
10.0,0.29000000000000004,1.0,0.5980821619397201,32.0
10.0,0.30000000000000004,1.0,0.6179124789513423,32.1
10.0,0.31000000000000005,1.0,0.6347016516775547,32.3
10.0,0.32000000000000006,1.0,0.6286381775616978,32.1
10.0,0.33,1.0,0.646279115265085,32.3
10.0,0.34,1.0,0.670220201816439,32.8
10.0,0.35000000000000003,1.0,0.6766689048328095,32.8
10.0,0.36000000000000004,1.0,0.7003677206770544,33.2
10.0,0.37000000000000005,1.0,0.7047377097159089,33.3
10.0,0.38000000000000006,1.0,0.722408165860334,33.6
10.0,0.39000000000000007,1.0,0.7185959804604928,33.6
10.0,0.4000000000000001,1.0,0.7180302670152401,33.4
10.0,0.4100000000000001,1.0,0.7303301149038127,33.8
10.0,0.42000000000000004,1.0,0.7420282448498174,34.0
10.0,0.43000000000000005,1.0,0.7376677673675024,33.9
10.0,0.44000000000000006,1.0,0.7452427047701988,34.0
10.0,0.45000000000000007,1.0,0.743546376998795,34.0
10.0,0.4600000000000001,1.0,0.7476767353225483,33.9
10.0,0.4700000000000001,1.0,0.7494120315728787,34.0
10.0,0.4800000000000001,1.0,0.7503842363629306,34.0
10.0,0.49000000000000005,1.0,0.755959011265052,34.0
10.0,0.5000000000000001,1.0,0.749094058671238,34.0
